time,meterusage
2019-01-12 22:30:00,49.87
2019-01-12 22:45:00,49.57
2019-01-01 00:15:00,55.09
2019-01-01 00:30:00,54.64
2019-01-01 00:45:00,55.18
2019-01-01 01:00:00,56.03
2019-01-01 01:15:00,55.77
2019-01-01 01:30:00,55.45
2019-01-01 01:45:00,55.74
2019-01-01 02:00:00,55.8
2019-01-01 02:15:00,55.62
2019-01-01 02:30:00,55.45
2019-01-01 02:45:00,55.52
2019-01-01 03:00:00,56.0
2019-01-01 03:15:00,55.88
2019-01-01 03:30:00,59.57
2019-01-01 03:45:00,62.9
2019-01-01 04:00:00,62.54
2019-01-01 04:15:00,62.18
2019-01-01 04:30:00,62.86
2019-01-01 04:45:00,62.73
2019-01-01 05:00:00,62.84
2019-01-01 05:15:00,63.52
2019-01-01 05:30:00,78.1
2019-01-01 05:45:00,108.79
2019-01-01 06:00:00,111.19
2019-01-01 06:15:00,118.67
2019-01-01 06:30:00,135.37
2019-01-01 06:45:00,142.55
2019-01-01 07:00:00,145.97
2019-01-01 07:15:00,141.31
2019-01-01 07:30:00,133.58
2019-01-01 07:45:00,131.19
2019-01-01 08:00:00,133.22
2019-01-01 08:15:00,135.18
2019-01-01 08:30:00,134.71
2019-01-01 08:45:00,134.07
2019-01-01 09:00:00,134.11
2019-01-01 09:15:00,137.63
2019-01-01 09:30:00,134.85
2019-01-01 09:45:00,137.01
2019-01-01 10:00:00,134.23
2019-01-01 10:15:00,135.59
2019-01-01 10:30:00,136.59
2019-01-01 10:45:00,134.23
2019-01-01 11:00:00,134.19
2019-01-01 11:15:00,137.59
2019-01-01 11:30:00,137.03
2019-01-01 11:45:00,137.12
2019-01-01 12:00:00,135.45
2019-01-01 12:15:00,132.78
2019-01-01 12:30:00,134.73
2019-01-01 12:45:00,135.4
2019-01-01 13:00:00,135.3
2019-01-01 13:15:00,132.93
2019-01-01 13:30:00,133.68
2019-01-01 13:45:00,135.07
2019-01-01 14:00:00,132.15
2019-01-01 14:15:00,131.06
2019-01-01 14:30:00,134.0
2019-01-01 14:45:00,132.56
2019-01-01 15:00:00,131.19
2019-01-01 15:15:00,130.33
2019-01-01 15:30:00,130.77
2019-01-01 15:45:00,131.64
2019-01-01 16:00:00,135.8
2019-01-01 16:15:00,134.58
2019-01-01 16:30:00,131.9
2019-01-01 16:45:00,130.41
2019-01-01 17:00:00,133.33
2019-01-01 17:15:00,138.18
2019-01-01 17:30:00,129.98
2019-01-01 17:45:00,116.3
2019-01-01 18:00:00,108.53
2019-01-01 18:15:00,107.82
2019-01-01 18:30:00,107.84
2019-01-01 18:45:00,106.18
2019-01-01 19:00:00,106.75
2019-01-01 19:15:00,108.4
2019-01-01 19:30:00,105.72
2019-01-01 19:45:00,105.95
2019-01-01 20:00:00,93.74
2019-01-01 20:15:00,87.41
2019-01-01 20:30:00,87.36
2019-01-01 20:45:00,94.94
2019-01-01 21:00:00,132.83
2019-01-01 21:15:00,110.53
2019-01-01 21:30:00,84.24
2019-01-01 21:45:00,80.86
2019-01-01 22:00:00,70.35
2019-01-01 22:15:00,59.63
2019-01-01 22:30:00,55.18
2019-01-01 22:45:00,54.47
2019-01-01 23:00:00,55.08
2019-01-01 23:15:00,55.11
2019-01-01 23:30:00,55.19
2019-01-01 23:45:00,55.56
2019-01-02 00:00:00,55.87
2019-01-02 00:15:00,55.67
2019-01-02 00:30:00,55.43
2019-01-02 00:45:00,56.03
2019-01-02 01:00:00,56.63
2019-01-02 01:15:00,57.51
2019-01-02 01:30:00,57.68
2019-01-02 01:45:00,57.91
2019-01-02 02:00:00,57.71
2019-01-02 02:15:00,58.32
2019-01-02 02:30:00,58.37
2019-01-02 02:45:00,58.27
2019-01-02 03:00:00,58.68
2019-01-02 03:15:00,58.2
2019-01-02 03:30:00,63.06
2019-01-02 03:45:00,67.94
2019-01-02 04:00:00,68.69
2019-01-02 04:15:00,67.62
2019-01-02 04:30:00,67.4
2019-01-02 04:45:00,68.45
2019-01-02 05:00:00,73.29
2019-01-02 05:15:00,78.36
2019-01-02 05:30:00,102.68
2019-01-02 05:45:00,162.75
2019-01-02 06:00:00,164.7
2019-01-02 06:15:00,151.26
2019-01-02 06:30:00,156.94
2019-01-02 06:45:00,173.5
2019-01-02 07:00:00,180.35
2019-01-02 07:15:00,182.95
2019-01-02 07:30:00,199.31
2019-01-02 07:45:00,221.18
2019-01-02 08:00:00,233.64
2019-01-02 08:15:00,239.33
2019-01-02 08:30:00,252.93
2019-01-02 08:45:00,260.4
2019-01-02 09:00:00,262.83
2019-01-02 09:15:00,261.67
2019-01-02 09:30:00,263.98
2019-01-02 09:45:00,263.55
2019-01-02 10:00:00,261.75
2019-01-02 10:15:00,269.27
2019-01-02 10:30:00,270.87
2019-01-02 10:45:00,268.86
2019-01-02 11:00:00,264.86
2019-01-02 11:15:00,261.57
2019-01-02 11:30:00,259.88
2019-01-02 11:45:00,254.46
2019-01-02 12:00:00,259.45
2019-01-02 12:15:00,262.77
2019-01-02 12:30:00,258.37
2019-01-02 12:45:00,260.17
2019-01-02 13:00:00,258.99
2019-01-02 13:15:00,255.46
2019-01-02 13:30:00,253.93
2019-01-02 13:45:00,252.2
2019-01-02 14:00:00,246.99
2019-01-02 14:15:00,247.32
2019-01-02 14:30:00,248.06
2019-01-02 14:45:00,243.94
2019-01-02 15:00:00,245.46
2019-01-02 15:15:00,246.22
2019-01-02 15:30:00,241.72
2019-01-02 15:45:00,239.55
2019-01-02 16:00:00,240.96
2019-01-02 16:15:00,238.41
2019-01-02 16:30:00,228.85
2019-01-02 16:45:00,227.15
2019-01-02 17:00:00,232.01
2019-01-02 17:15:00,227.23
2019-01-02 17:30:00,206.15
2019-01-02 17:45:00,179.32
2019-01-02 18:00:00,155.34
2019-01-02 18:15:00,138.3
2019-01-02 18:30:00,131.47
2019-01-02 18:45:00,136.15
2019-01-02 19:00:00,178.71
2019-01-02 19:15:00,161.46
2019-01-02 19:30:00,133.63
2019-01-02 19:45:00,126.96
2019-01-02 20:00:00,123.07
2019-01-02 20:15:00,121.82
2019-01-02 20:30:00,144.74
2019-01-02 20:45:00,164.83
2019-01-02 21:00:00,133.33
2019-01-02 21:15:00,114.83
2019-01-02 21:30:00,114.96
2019-01-02 21:45:00,104.22
2019-01-02 22:00:00,73.33
2019-01-02 22:15:00,54.19
2019-01-02 22:30:00,50.14
2019-01-02 22:45:00,49.76
2019-01-02 23:00:00,49.61
2019-01-02 23:15:00,47.23
2019-01-02 23:30:00,46.0
2019-01-02 23:45:00,45.97
2019-01-03 00:00:00,47.21
2019-01-03 00:15:00,46.31
2019-01-03 00:30:00,45.89
2019-01-03 00:45:00,45.65
2019-01-03 01:00:00,45.67
2019-01-03 01:15:00,45.6
2019-01-03 01:30:00,46.05
2019-01-03 01:45:00,45.81
2019-01-03 02:00:00,45.95
2019-01-03 02:15:00,45.83
2019-01-03 02:30:00,46.39
2019-01-03 02:45:00,46.37
2019-01-03 03:00:00,46.95
2019-01-03 03:15:00,49.31
2019-01-03 03:30:00,53.73
2019-01-03 03:45:00,55.59
2019-01-03 04:00:00,55.25
2019-01-03 04:15:00,54.98
2019-01-03 04:30:00,56.06
2019-01-03 04:45:00,57.09
2019-01-03 05:00:00,64.27
2019-01-03 05:15:00,70.64
2019-01-03 05:30:00,88.99
2019-01-03 05:45:00,155.41
2019-01-03 06:00:00,164.39
2019-01-03 06:15:00,150.47
2019-01-03 06:30:00,158.98
2019-01-03 06:45:00,172.92
2019-01-03 07:00:00,181.79
2019-01-03 07:15:00,189.5
2019-01-03 07:30:00,195.76
2019-01-03 07:45:00,205.16
2019-01-03 08:00:00,231.49
2019-01-03 08:15:00,250.49
2019-01-03 08:30:00,256.03
2019-01-03 08:45:00,258.4
2019-01-03 09:00:00,267.27
2019-01-03 09:15:00,273.07
2019-01-03 09:30:00,267.84
2019-01-03 09:45:00,261.48
2019-01-03 10:00:00,263.39
2019-01-03 10:15:00,264.72
