time,meterusage
2019-01-13 22:45:00,91.85
2019-01-13 23:00:00,68.87
2019-01-13 23:15:00,59.53
2019-01-13 23:30:00,59.54
2019-01-13 23:45:00,60.01
2019-01-14 00:00:00,61.9
2019-01-14 00:15:00,75.43
2019-01-14 00:30:00,126.33
2019-01-14 00:45:00,106.3
2019-01-14 01:00:00,70.88
2019-01-14 01:15:00,63.52
2019-01-14 01:30:00,63.64
2019-01-14 01:45:00,100.75
2019-01-14 02:00:00,127.0
2019-01-14 02:15:00,90.89
2019-01-14 02:30:00,66.73
2019-01-14 02:45:00,71.27
2019-01-14 03:00:00,78.78
2019-01-14 03:15:00,147.41
2019-01-14 03:30:00,170.48
2019-01-14 03:45:00,121.57
2019-01-14 04:00:00,88.3
2019-01-14 04:15:00,82.27
2019-01-14 04:30:00,85.22
2019-01-14 04:45:00,154.89
2019-01-14 05:00:00,162.11
2019-01-14 05:15:00,121.52
2019-01-14 05:30:00,100.83
2019-01-14 05:45:00,95.7
2019-01-14 06:00:00,101.68
2019-01-14 06:15:00,175.07
2019-01-14 06:30:00,196.03
2019-01-14 06:45:00,170.2
2019-01-14 07:00:00,152.92
2019-01-14 07:15:00,158.82
2019-01-14 07:30:00,186.49
2019-01-14 07:45:00,271.57
2019-01-14 08:00:00,273.71
2019-01-14 08:15:00,238.9
2019-01-14 08:30:00,226.47
2019-01-14 08:45:00,230.69
2019-01-14 09:00:00,259.15
2019-01-14 09:15:00,340.23
2019-01-14 09:30:00,323.39
2019-01-14 09:45:00,280.2
2019-01-14 10:00:00,280.9
2019-01-14 10:15:00,285.4
2019-01-14 10:30:00,292.05
2019-01-14 10:45:00,294.16
2019-01-14 11:00:00,294.34
2019-01-14 11:15:00,291.89
2019-01-14 11:30:00,289.45
2019-01-14 11:45:00,282.89
2019-01-14 12:00:00,289.2
2019-01-14 12:15:00,287.42
2019-01-14 12:30:00,284.43
2019-01-14 12:45:00,284.65
2019-01-14 13:00:00,280.98
2019-01-14 13:15:00,273.89
2019-01-14 13:30:00,272.16
2019-01-14 13:45:00,275.46
2019-01-14 14:00:00,275.31
2019-01-14 14:15:00,272.36
2019-01-14 14:30:00,269.61
2019-01-14 14:45:00,271.48
2019-01-14 15:00:00,277.42
2019-01-14 15:15:00,277.41
2019-01-14 15:30:00,269.53
2019-01-14 15:45:00,264.34
2019-01-14 16:00:00,260.05
2019-01-14 16:15:00,262.34
2019-01-14 16:30:00,256.71
2019-01-14 16:45:00,254.67
2019-01-14 17:00:00,258.05
2019-01-14 17:15:00,256.52
2019-01-14 17:30:00,241.38
2019-01-14 17:45:00,213.55
2019-01-14 18:00:00,183.82
2019-01-14 18:15:00,169.39
2019-01-14 18:30:00,160.69
2019-01-14 18:45:00,153.86
2019-01-14 19:00:00,193.33
2019-01-14 19:15:00,187.24
2019-01-14 19:30:00,155.7
2019-01-14 19:45:00,144.53
2019-01-14 20:00:00,141.35
2019-01-14 20:15:00,140.48
2019-01-14 20:30:00,138.89
2019-01-14 20:45:00,152.16
2019-01-14 21:00:00,182.7
2019-01-14 21:15:00,153.6
2019-01-14 21:30:00,131.15
2019-01-14 21:45:00,129.21
2019-01-14 22:00:00,103.62
2019-01-14 22:15:00,78.17
2019-01-14 22:30:00,71.09
2019-01-14 22:45:00,70.06
2019-01-14 23:00:00,69.82
2019-01-14 23:15:00,70.02
2019-01-14 23:30:00,61.47
2019-01-14 23:45:00,55.27
2019-01-15 00:00:00,54.54
2019-01-15 00:15:00,54.82
2019-01-15 00:30:00,54.91
2019-01-15 00:45:00,55.0
2019-01-15 01:00:00,55.07
2019-01-15 01:15:00,54.91
2019-01-15 01:30:00,54.66
2019-01-15 01:45:00,53.88
2019-01-15 02:00:00,54.74
2019-01-15 02:15:00,55.79
2019-01-15 02:30:00,54.88
2019-01-15 02:45:00,54.4
2019-01-15 03:00:00,55.0
2019-01-15 03:15:00,56.21
2019-01-15 03:30:00,59.69
2019-01-15 03:45:00,64.37
2019-01-15 04:00:00,65.5
2019-01-15 04:15:00,65.86
2019-01-15 04:30:00,68.28
2019-01-15 04:45:00,70.01
2019-01-15 05:00:00,70.07
2019-01-15 05:15:00,72.13
